BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour
rare,solid polyester blend sweetheart neck womens bodycon dress,"Size:Large,Medium,X-Large",2399,1079,55,Westernwear-Women,green
and,floral polyester v neck womens straight top,"Size:8,10,12,14,16,18",,2099,0,Westernwear-Women,powder blue
zink london,textured polyester boat neck womens dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2699,1619,40,Westernwear-Women,black
latin quarters,solid polyester womens regular dress,"Size:S,M,L,XL",2399,1199,50,Westernwear-Women,purple
zink london,solid regular fit cotton womens trousers,"Size:Small,X-Large",1899,1139,40,Westernwear-Women,grey
sera,womens regular fit solid tie up neck peplum top,"Size:Large,Small,X-Large",1198,359,70,Westernwear-Women,red
rare,solid comfort fit polyester womens casual wear trousers,"Size:Large,Medium,Small,X-Large",1899,854,55,Westernwear-Women,brown
life,printed round neck polyester womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1199,599,50,Westernwear-Women,black
madame,floral print polyster womens dress,"Size:Large,Medium,Small,X-Large,XX-Large",2699,1619,40,Westernwear-Women,royal blue
fratini,sanya malhotra  stripes v neck viscose moss womens dress,"Size:Large,Medium,Small,X-Large,XX-Large",,1899,0,Westernwear-Women,natural
and,solid cotton collar neck womens top,"Size:8,10,12,14,18",1799,899,50,Westernwear-Women,rose
fratini,printed viscose v-neck womens regular top,"Size:Large,Medium,Small,XX-Large",899,449,50,Westernwear-Women,black
adidas,striped regular fit blended womens sports tights,Size:X-Small,1799,899,50,Westernwear-Women,black
rare,checks cold shoulder polyester womens calf length jumpsuits,"Size:Large,Medium,Small,X-Large",2099,839,60,Westernwear-Women,black
zink london,floral viscose v neck womens dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2799,1679,40,Westernwear-Women,green
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34,36",1699,849,50,Westernwear-Women,black
allen solly,womens solid formal shirt,"Size:Large,Small,X-Large,XX-Large",1599,959,40,Westernwear-Women,light blue
allen solly,solid polyester cotton round neck womens formal wear shirt,"Size:Large,Medium,Small,X-Large",1599,959,40,Westernwear-Women,black
zink london,solid regular fit cotton womens joggers,Size:X-Large,1899,1139,40,Westernwear-Women,blue
cover story,solid cotton spandex round neck womens t-shirt,"Size:Large,Medium,X-Large,X-Small",990,693,30,Westernwear-Women,pink
stop,solid regular neck cotton stretch womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",999,499,50,Westernwear-Women,black
levis,tapered fit regular length cotton womens jeans,"Size:26,28,30,32,34",,3799,0,Westernwear-Women,indigo
fratini,printed viscose collar neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1599,799,50,Westernwear-Women,white
faballey,solid crepe square neck womens dress,"Size:Large,Medium,Small,X-Large,X-Small",1900,1520,20,Westernwear-Women,red
rare,floral polyester v neck womens a-line dress,"Size:Large,Medium,Small,X-Large",2099,944,55,Westernwear-Women,red
zink london,solid cotton collar neck womens straight top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599,959,40,Westernwear-Women,blue
fratini,embellished viscose blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,XX-Large",999,499,50,Westernwear-Women,powder blue
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",899,449,50,Westernwear-Women,sky blue
zink london,floral viscose tie up neck� womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799,1079,40,Westernwear-Women,green
stop,solid viscose round neck womens regular top,"Size:Large,Medium,Small,X-Large,XX-Large",799,399,50,Westernwear-Women,off white
