BrandName,Details,Sizes,MRP,SellPrice,Discount,Category,Colour
rare,stripes polyester round neck womens regular top,"Size:Large,Medium,Small,X-Large",1199.0,539.0,55.0,regular top,navy
life,solid polyester blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499.0,50.0,t-shirt,dusty pink
van heusen,solid polyester blend regular fit womens trousers,Size:26,1499.0,799.0,47.0,trousers,pink
zink london,solid polyester round neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599.0,959.0,40.0,top,white
fratini,printed v-neck viscose womens woven top,"Size:Small,XX-Large",999.0,499.0,50.0,woven top,pink
life,regular fit regular length denim womens jeans,"Size:26,28,30,32,34,36",1999.0,999.0,50.0,jeans,charcoal
fratini,solid square neck polyester womens woven top,"Size:Large,Medium,X-Large,XX-Large",999.0,499.0,50.0,woven top,olive
kraus,wide leg fit ankle length cotton womens jeans,"Size:28,30,32,34,36",1795.0,1256.0,30.0,jeans,dark blue
madame,solid cotton round neck womens regular top,"Size:Large,Medium,X-Large",1499.0,899.0,40.0,regular top,mauve
life,printed viscose collar neck womens shirt,"Size:Large,Medium,Small,X-Large,X-Small",899.0,449.0,50.0,shirt,white
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,off white
life,regular fit regular length cotton blend womens joggers,"Size:26,28,30,32,34,36",1299.0,649.0,50.0,joggers,blue
kraus,baggy fit ankle length cotton womens jeans,"Size:28,30,32,34",1695.0,847.0,50.0,jeans,blue
zink london,printed polyester boat neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799.0,1079.0,40.0,top,navy
life,embroidered viscose blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",899.0,449.0,50.0,t-shirt,pink
fratini,printed viscose collar neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,799.0,50.0,a-line dress,yellow
faballey,floral georgette round neck womens dress,"Size:Small,X-Small",2400.0,1920.0,20.0,dress,blue
rare,solid polyester choker neck womens regular top,"Size:Large,Medium,Small,X-Large",1299.0,584.0,55.0,regular top,black
rare,floral polyester round neck womens regular top,"Size:Large,Medium,Small,X-Large",1399.0,559.0,60.0,regular top,multi
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34",999.0,499.0,50.0,jeans,black
zink london,solid cotton round neck womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1899.0,1139.0,40.0,top,lavender
zink london,checks round neck cotton womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2799.0,1399.0,50.0,a-line dress,multi
stop,solid regular neck cotton blend womens formal shirt,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",899.0,449.0,50.0,formal shirt,pink
only,solid viscose womens cropped top,"Size:Large,Medium,Small,X-Large,X-Small",1799.0,1079.0,40.0,cropped top,pink
life,printed viscose wide neck womens a-line dress,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749.0,50.0,a-line dress,sage
life,embroidered blended round neck womens top,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599.0,50.0,top,natural
latin quarters,printed v neck polyester womens regular fit dresses,"Size:S,M,L,XL",2699.0,1889.0,30.0,regular fit dresses,peach
rare,solid polyester mandarin womens regular top,"Size:Medium,Small",1299.0,519.0,60.0,regular top,green
latin quarters,dyed rayon blend womens casual wear shrug,"Size:S,M,L,XL,XX-Large",1399.0,699.0,50.0,casual wear shrug,peach
life,solid denim collar neck womens denim jacket,"Size:Large,Medium,Small,X-Large,X-Small",1899.0,949.0,50.0,denim jacket,mid stone
rare,solid crepe tie up neck�womens regular top,"Size:Large,Medium",1399.0,559.0,60.0,regular top,grey
zink london,floral polyester round neck womens short dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2199.0,1319.0,40.0,short dress,blue
rare,solid crepe round neck womens regular top,Size:Small,1099.0,549.0,50.0,regular top,maroon
allen solly,printed round neck rayon womens fit and flare dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499.0,1499.0,40.0,fit and flare dress,red
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,36",999.0,499.0,50.0,jeans,dk indigo
rare,solid crepe round neck womens regular top,"Size:Large,Medium,Small,X-Large",999.0,499.0,50.0,regular top,maroon
rare,floral crepe round neck womens flared dress,"Size:Large,Small,X-Large",1599.0,719.0,55.0,flared dress,cream
life,womens viscose collar checks shirts,"Size:Small,X-Small",899.0,449.0,50.0,viscose collar checks shirts,orange
rare,solid modal round neck womens regular top,Size:X-Large,1499.0,599.0,60.0,regular top,mustard
van heusen,textured polyester round neck womens jacket,"Size:Large,Medium,Small,X-Large,X-Small",3499.0,1499.0,57.0,jacket,navy
life,printed jersey round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,blue
rare,solid polyester boat neck womens regular top,"Size:Large,Medium,Small,X-Large",1499.0,599.0,60.0,regular top,maroon
life,solid viscose blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349.0,50.0,t-shirt,orange
stop,printed regular neck chambray womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449.0,50.0,formal shirt,blue
madame,solid georgette square neck womens regular top,"Size:Large,Medium,Small,X-Large,XX-Large",1699.0,849.0,50.0,regular top,mint
rare,floral georgette round neck womens flared dress,"Size:Large,Medium,Small,X-Large",1899.0,854.0,55.0,flared dress,black
rare,solid polyester blend sweetheart neck womens bodycon dress,"Size:Large,Medium,X-Large",2399.0,1079.0,55.0,bodycon dress,green
zink london,textured polyester boat neck womens dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2699.0,1619.0,40.0,dress,black
latin quarters,solid polyester womens regular dress,"Size:S,M,L,XL",2399.0,1199.0,50.0,regular dress,purple
zink london,solid regular fit cotton womens trousers,"Size:Small,X-Large",1899.0,1139.0,40.0,trousers,grey
sera,womens regular fit solid tie up neck peplum top,"Size:Large,Small,X-Large",1198.0,359.0,70.0,regular fit solid tie up neck peplum top,red
rare,solid comfort fit polyester womens casual wear trousers,"Size:Large,Medium,Small,X-Large",1899.0,854.0,55.0,casual wear trousers,brown
life,printed round neck polyester womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599.0,50.0,regular top,black
madame,floral print polyster womens dress,"Size:Large,Medium,Small,X-Large,XX-Large",2699.0,1619.0,40.0,dress,royal blue
and,solid cotton collar neck womens top,"Size:8,10,12,14,18",1799.0,899.0,50.0,top,rose
fratini,printed viscose v-neck womens regular top,"Size:Large,Medium,Small,XX-Large",899.0,449.0,50.0,regular top,black
adidas,striped regular fit blended womens sports tights,Size:X-Small,1799.0,899.0,50.0,sports tights,black
rare,checks cold shoulder polyester womens calf length jumpsuits,"Size:Large,Medium,Small,X-Large",2099.0,839.0,60.0,calf length jumpsuits,black
zink london,floral viscose v neck womens dress,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2799.0,1679.0,40.0,dress,green
life,regular fit regular length cotton lycra womens jeans,"Size:26,28,30,32,34,36",1699.0,849.0,50.0,jeans,black
allen solly,womens solid formal shirt,"Size:Large,Small,X-Large,XX-Large",1599.0,959.0,40.0,solid formal shirt,light blue
allen solly,solid polyester cotton round neck womens formal wear shirt,"Size:Large,Medium,Small,X-Large",1599.0,959.0,40.0,formal wear shirt,black
zink london,solid regular fit cotton womens joggers,Size:X-Large,1899.0,1139.0,40.0,joggers,blue
cover story,solid cotton spandex round neck womens t-shirt,"Size:Large,Medium,X-Large,X-Small",990.0,693.0,30.0,t-shirt,pink
stop,solid regular neck cotton stretch womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",999.0,499.0,50.0,formal shirt,black
fratini,printed viscose collar neck womens a-line dress,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,799.0,50.0,a-line dress,white
faballey,solid crepe square neck womens dress,"Size:Large,Medium,Small,X-Large,X-Small",1900.0,1520.0,20.0,dress,red
rare,floral polyester v neck womens a-line dress,"Size:Large,Medium,Small,X-Large",2099.0,944.0,55.0,a-line dress,red
zink london,solid cotton collar neck womens straight top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599.0,959.0,40.0,straight top,blue
fratini,embellished viscose blend round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,XX-Large",999.0,499.0,50.0,t-shirt,powder blue
stop,printed regular neck cotton womens formal shirt,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449.0,50.0,formal shirt,sky blue
zink london,floral viscose tie up neck� womens top,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799.0,1079.0,40.0,top,green
stop,solid viscose round neck womens regular top,"Size:Large,Medium,Small,X-Large,XX-Large",799.0,399.0,50.0,regular top,off white
van heusen,solid polyester v neck womens top,"Size:Medium,Small,X-Large,X-Small",1699.0,999.0,41.0,top,red
zink london,printed viscose blend square neck womens dress,"Size:Large,Medium,Small,X-Large",3199.0,1919.0,40.0,dress,mustard
life,printed cotton slub round neck womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",899.0,449.0,50.0,regular top,blue
rare,printed georgette off shoulder womens blouson top,"Size:Large,Medium,Small,X-Large",999.0,499.0,50.0,blouson top,navy
zink london,floral polyester round neck womens straight top,"Size:Large,Medium,Small,X-Large,X-Small",1399.0,839.0,40.0,straight top,blue
life,checks cotton blend collar neck womens regular top,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649.0,50.0,regular top,black
fratini,solid cotton round neck womens t-shirt,"Size:Large,Medium,Small,X-Large,XX-Large",799.0,399.0,50.0,t-shirt,teal
